iter	Passed	Remaining
0	64	19277
1	79	11850
2	93	9216
3	103	7631
4	110	6506
5	117	5737
6	124	5192
7	131	4810
8	138	4463
9	144	4204
10	152	4002
11	160	3859
12	168	3717
13	176	3603
14	184	3511
15	193	3425
16	202	3366
17	211	3307
18	218	3237
19	227	3191
20	236	3138
21	244	3092
22	253	3050
23	261	3009
24	269	2968
25	278	2934
26	286	2899
27	294	2863
28	302	2830
29	311	2800
30	318	2766
31	327	2745
32	335	2717
33	343	2689
34	351	2660
35	360	2643
36	368	2618
37	377	2601
38	385	2580
39	394	2561
40	402	2543
41	411	2527
42	419	2505
43	427	2485
44	435	2465
45	443	2446
46	450	2426
47	459	2412
48	467	2395
49	476	2380
50	483	2360
51	491	2344
52	499	2328
53	507	2313
54	515	2296
55	523	2279
56	530	2263
57	539	2249
58	547	2237
59	555	2221
60	563	2207
61	571	2195
62	580	2184
63	589	2174
64	598	2164
65	608	2157
66	616	2143
67	624	2131
68	632	2117
69	641	2106
70	648	2093
71	657	2081
72	666	2071
73	674	2060
74	683	2049
75	690	2036
76	698	2021
77	706	2010
78	714	1999
79	723	1988
80	731	1977
81	739	1966
82	747	1955
83	756	1945
84	765	1936
85	773	1925
86	782	1914
87	790	1904
88	800	1896
89	809	1888
90	818	1879
91	826	1868
92	834	1858
93	843	1848
94	851	1838
95	860	1828
96	868	1818
97	877	1808
98	886	1798
99	894	1789
100	903	1779
101	911	1770
102	921	1761
103	929	1752
104	938	1742
105	946	1732
106	954	1722
107	964	1713
108	971	1702
109	980	1693
110	988	1683
111	998	1675
112	1007	1666
113	1016	1657
114	1025	1648
115	1033	1639
116	1041	1629
117	1049	1619
118	1057	1608
119	1066	1599
120	1075	1590
121	1083	1580
122	1090	1569
123	1099	1560
124	1107	1550
125	1115	1540
126	1123	1530
127	1131	1520
128	1139	1511
129	1147	1501
130	1155	1490
131	1163	1480
132	1171	1470
133	1178	1460
134	1187	1451
135	1196	1442
136	1204	1432
137	1212	1423
138	1221	1414
139	1229	1405
140	1238	1396
141	1246	1387
142	1255	1378
143	1263	1368
144	1271	1359
145	1280	1350
146	1288	1341
147	1296	1331
148	1304	1321
149	1312	1312
150	1321	1303
151	1329	1294
152	1337	1285
153	1346	1276
154	1353	1266
155	1363	1258
156	1371	1249
157	1380	1240
158	1388	1231
159	1396	1222
160	1405	1213
161	1413	1203
162	1420	1194
163	1428	1184
164	1436	1175
165	1445	1166
166	1453	1157
167	1462	1148
168	1470	1139
169	1478	1130
170	1487	1121
171	1495	1113
172	1503	1103
173	1511	1094
174	1520	1085
175	1528	1077
176	1537	1068
177	1545	1059
178	1554	1050
179	1563	1042
180	1571	1033
181	1581	1025
182	1589	1016
183	1597	1007
184	1606	998
185	1614	989
186	1623	980
187	1631	971
188	1638	962
189	1647	953
190	1656	945
191	1664	936
192	1672	927
193	1680	918
194	1689	909
195	1697	900
196	1705	891
197	1713	882
198	1721	873
199	1729	864
200	1738	856
201	1746	847
202	1754	838
203	1762	829
204	1771	820
205	1779	812
206	1787	803
207	1796	794
208	1805	786
209	1814	777
210	1823	769
211	1831	760
212	1839	751
213	1848	742
214	1857	734
215	1866	725
216	1874	716
217	1882	708
218	1892	699
219	1900	691
220	1908	682
221	1917	673
222	1925	665
223	1933	656
224	1943	647
225	1951	639
226	1959	630
227	1967	621
228	1975	612
229	1984	604
230	1993	595
231	2001	586
232	2009	577
233	2017	569
234	2025	560
235	2034	551
236	2042	543
237	2051	534
238	2059	525
239	2068	517
240	2076	508
241	2084	499
242	2093	491
243	2101	482
244	2109	473
245	2118	464
246	2125	456
247	2133	447
248	2142	438
249	2151	430
250	2158	421
251	2166	412
252	2174	404
253	2183	395
254	2191	386
255	2199	377
256	2207	369
257	2216	360
258	2224	352
259	2232	343
260	2240	334
261	2248	326
262	2255	317
263	2264	308
264	2272	300
265	2280	291
266	2288	282
267	2297	274
268	2305	265
269	2313	257
270	2321	248
271	2329	239
272	2337	231
273	2346	222
274	2354	214
275	2362	205
276	2370	196
277	2379	188
278	2387	179
279	2395	171
280	2402	162
281	2411	153
282	2419	145
283	2427	136
284	2435	128
285	2443	119
286	2451	111
287	2459	102
288	2468	93
289	2476	85
290	2484	76
291	2492	68
292	2500	59
293	2508	51
294	2517	42
295	2525	34
296	2533	25
297	2542	17
298	2550	8
299	2557	0
